sample	diploid_frac_Cd	diploid_frac_conf	squid_frac_Cd	squid_frac_conf
blca_TCGA-BT-A42E-01A-11R-A23W-07	0.9470899470899471	0.49175824175824173	0.47368421052631576	0.024725274725274724
prad_TCGA-CH-5748-01A-11R-1580-07	0.76	0.8333333333333334	0.19444444444444445	0.06140350877192982
brca_TCGA-BH-A0BC-01A-22R-A084-07	0.8823529411764706	0.6887755102040817	0.38461538461538464	0.05102040816326531
blca_TCGA-BL-A13I-01A-11R-A13Y-07	0.9147727272727273	0.8473684210526315	0.375	0.04736842105263158
luad_TCGA-55-6984-01A-11R-1949-07	0.9205298013245033	0.6261261261261262	0.35294117647058826	0.02702702702702703
blca_TCGA-BT-A3PK-01A-21R-A220-07	0.9485294117647058	0.9148936170212766	0.46153846153846156	0.0425531914893617
blca_TCGA-DK-A1A3-01A-11R-A13Y-07	0.9006622516556292	0.6476190476190476	0.4782608695652174	0.05238095238095238
prad_TCGA-EJ-7125-01A-11R-1965-07	0.8490566037735849	0.9278350515463918	0.36	0.09278350515463918
blca_TCGA-C4-A0F0-01A-12R-A10U-07	0.835820895522388	0.7887323943661971	0.23076923076923078	0.04225352112676056
prad_TCGA-CH-5794-01A-11R-1580-07	0.8481012658227848	0.8701298701298701	0.35294117647058826	0.07792207792207792
luad_TCGA-05-5423-01A-01R-1628-07	0.8582677165354331	0.6526946107784432	0.3076923076923077	0.04790419161676647
brca_TCGA-A7-A13E-01A-11R-A12P-07	0.7634408602150538	0.7029702970297029	0.26666666666666666	0.07920792079207921
luad_TCGA-05-4432-01A-01R-1206-07	0.7605633802816901	0.5567010309278351	0.4482758620689655	0.13402061855670103
prad_TCGA-EJ-7792-01A-11R-2118-07	0.8292682926829268	0.9577464788732394	0.4090909090909091	0.1267605633802817
luad_TCGA-05-4415-01A-22R-1858-07	0.8111111111111111	0.7525773195876289	0.2916666666666667	0.07216494845360824
blca_TCGA-BT-A0YX-01A-11R-A10U-07	0.84375	0.9529411764705882	0.3	0.07058823529411765
blca_TCGA-DK-A1AB-01A-11R-A13Y-07	0.84	0.5915492957746479	0.3333333333333333	0.056338028169014086
prad_TCGA-CH-5790-01A-11R-1580-07	0.8902439024390244	0.9733333333333334	0.5625	0.12
prad_TCGA-HC-8262-01A-11R-2263-07	0.8382352941176471	0.8142857142857143	0.2857142857142857	0.05714285714285714
brca_TCGA-BH-A1FB-01A-11R-A13Q-07	0.9550898203592815	0.731651376146789	0.38095238095238093	0.01834862385321101
brca_TCGA-BH-A0BV-01A-11R-A00Z-07	0.948905109489051	0.8469055374592834	0.5357142857142857	0.048859934853420196
prad_TCGA-EJ-7797-01A-11R-2263-07	0.9174603174603174	0.8757575757575757	0.3142857142857143	0.03333333333333333
prad_TCGA-CH-5761-01A-11R-1580-07	0.8651685393258427	0.9506172839506173	0.3888888888888889	0.08641975308641975
brca_TCGA-BH-A0BQ-01A-21R-A115-07	0.9436619718309859	0.8072289156626506	0.6	0.07228915662650602
blca_TCGA-DK-A2I1-01A-11R-A180-07	0.9555555555555556	0.832258064516129	0.5	0.03870967741935484
luad_TCGA-44-6145-01A-11R-1755-07	0.9359605911330049	0.8558558558558559	0.38095238095238093	0.036036036036036036
prad_TCGA-EJ-5499-01A-01R-1580-07	0.9029535864978903	0.9224137931034483	0.42105263157894735	0.06896551724137931
luad_TCGA-55-6981-01A-11R-1949-07	0.9095022624434389	0.8445378151260504	0.47058823529411764	0.06722689075630252
brca_TCGA-BH-A0DG-01A-21R-A12P-07	0.883495145631068	0.5947712418300654	0.3888888888888889	0.0457516339869281
blca_TCGA-DK-A3IK-01A-32R-A21D-07	0.9070796460176991	0.8836206896551724	0.14285714285714285	0.01293103448275862
prad_TCGA-CH-5737-01A-11R-1580-07	0.9430604982206405	0.8255451713395638	0.4230769230769231	0.03426791277258567
luad_TCGA-44-2657-01A-01R-1107-07	0.8809523809523809	0.9487179487179487	0.4444444444444444	0.10256410256410256
blca_TCGA-DK-A3WW-01A-22R-A23N-07	0.8163265306122449	0.8333333333333334	0.34615384615384615	0.09375
brca_TCGA-BH-A18K-01A-11R-A12D-07	0.9565217391304348	0.6724890829694323	0.42105263157894735	0.017467248908296942
brca_TCGA-BH-A18Q-01A-12R-A12D-07	0.9553903345724907	0.8210862619808307	0.4444444444444444	0.025559105431309903
luad_TCGA-55-6978-01A-11R-1949-07	0.8352272727272727	0.9363057324840764	0.37209302325581395	0.10191082802547771
prad_TCGA-CH-5791-01A-11R-1580-07	0.9436619718309859	0.783625730994152	0.6	0.05263157894736842
brca_TCGA-BH-A0BA-01A-11R-A056-07	0.9393939393939394	0.8157894736842105	0.5555555555555556	0.06578947368421052
luad_TCGA-05-4426-01A-01R-1206-07	0.85	0.9622641509433962	0.4	0.11320754716981132
luad_TCGA-44-6147-01A-11R-1755-07	0.963855421686747	1.0	0.7142857142857143	0.0625
blca_TCGA-DK-A6B0-01A-11R-A31N-07	0.8541666666666666	0.9534883720930233	0.5357142857142857	0.1744186046511628
luad_TCGA-05-4405-01A-21R-1858-07	0.9090909090909091	0.7874015748031497	0.2857142857142857	0.031496062992125984
prad_TCGA-CH-5767-01A-11R-1789-07	0.8571428571428571	0.9882352941176471	0.5	0.15294117647058825
blca_TCGA-BT-A42C-01A-11R-A23N-07	0.8514851485148515	0.8958333333333334	0.2222222222222222	0.041666666666666664
brca_TCGA-BH-A0DL-01A-11R-A115-07	0.8436018957345972	0.4876712328767123	0.15789473684210525	0.01643835616438356
blca_TCGA-BT-A20W-01A-21R-A14Y-07	0.841726618705036	0.841726618705036	0.34375	0.07913669064748201
prad_TCGA-G9-6384-01A-11R-1789-07	0.9067796610169492	0.5783783783783784	0.625	0.08108108108108109
blca_TCGA-BT-A20P-01A-11R-A14Y-07	0.8888888888888888	0.909952606635071	0.34285714285714286	0.05687203791469194
prad_TCGA-CH-5788-01A-11R-1580-07	0.8275862068965517	0.6451612903225806	0.34285714285714286	0.06451612903225806
brca_TCGA-BH-A0E0-01A-11R-A056-07	0.9512195121951219	0.9285714285714286	0.5	0.047619047619047616
luad_TCGA-44-6777-01A-11R-1858-07	0.9230769230769231	0.3769633507853403	0.3333333333333333	0.015706806282722512
prad_TCGA-EJ-5496-01A-01R-1580-07	0.8522727272727273	0.7075471698113207	0.5666666666666667	0.16037735849056603
prad_TCGA-CH-5753-01A-11R-1580-07	0.9038461538461539	0.88125	0.3333333333333333	0.04375
blca_TCGA-CF-A47Y-01A-11R-A23W-07	0.6555555555555556	0.9833333333333333	0.42592592592592593	0.38333333333333336
brca_TCGA-BH-A0H5-01A-21R-A115-07	0.813953488372093	0.9722222222222222	0.4666666666666667	0.19444444444444445
